index,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,1,PAYMENT,9839.64,170136.0,160296.36,0.0,0.0,0
1,1,PAYMENT,1864.28,21249.0,19384.72,0.0,0.0,0
4,1,PAYMENT,11668.14,41554.0,29885.86,0.0,0.0,0
5,1,PAYMENT,7817.71,53860.0,46042.29,0.0,0.0,0
6,1,PAYMENT,7107.77,183195.0,176087.23,0.0,0.0,0
7,1,PAYMENT,7861.64,176087.23,168225.59,0.0,0.0,0
8,1,PAYMENT,4024.36,2671.0,0.0,0.0,0.0,0
9,1,DEBIT,5337.77,41720.0,36382.23,41898.0,40348.79,0
10,1,DEBIT,9644.94,4465.0,0.0,10845.0,157982.12,0
11,1,PAYMENT,3099.97,20771.0,17671.03,0.0,0.0,0
12,1,PAYMENT,2560.74,5070.0,2509.26,0.0,0.0,0
13,1,PAYMENT,11633.76,10127.0,0.0,0.0,0.0,0
14,1,PAYMENT,4098.78,503264.0,499165.22,0.0,0.0,0
15,1,CASH_OUT,229133.94,15325.0,0.0,5083.0,51513.44,0
16,1,PAYMENT,1563.82,450.0,0.0,0.0,0.0,0
17,1,PAYMENT,1157.86,21156.0,19998.14,0.0,0.0,0
18,1,PAYMENT,671.64,15123.0,14451.36,0.0,0.0,0
19,1,TRANSFER,215310.3,705.0,0.0,22425.0,0.0,0
20,1,PAYMENT,1373.43,13854.0,12480.57,0.0,0.0,0
21,1,DEBIT,9302.79,11299.0,1996.21,29832.0,16896.7,0
22,1,DEBIT,1065.41,1817.0,751.59,10330.0,0.0,0
23,1,PAYMENT,3876.41,67852.0,63975.59,0.0,0.0,0
24,1,TRANSFER,311685.89,10835.0,0.0,6267.0,2719172.89,0
25,1,PAYMENT,6061.13,443.0,0.0,0.0,0.0,0
26,1,PAYMENT,9478.39,116494.0,107015.61,0.0,0.0,0
27,1,PAYMENT,8009.09,10968.0,2958.91,0.0,0.0,0
28,1,PAYMENT,8901.99,2958.91,0.0,0.0,0.0,0
29,1,PAYMENT,9920.52,0.0,0.0,0.0,0.0,0
30,1,PAYMENT,3448.92,0.0,0.0,0.0,0.0,0
31,1,PAYMENT,4206.84,0.0,0.0,0.0,0.0,0
32,1,PAYMENT,5885.56,0.0,0.0,0.0,0.0,0
33,1,PAYMENT,5307.88,0.0,0.0,0.0,0.0,0
34,1,PAYMENT,5031.22,0.0,0.0,0.0,0.0,0
35,1,PAYMENT,24213.67,0.0,0.0,0.0,0.0,0
36,1,PAYMENT,8603.42,253.0,0.0,0.0,0.0,0
37,1,PAYMENT,2791.42,300481.0,297689.58,0.0,0.0,0
38,1,PAYMENT,7413.54,297689.58,290276.03,0.0,0.0,0
39,1,PAYMENT,3295.19,233633.0,230337.81,0.0,0.0,0
40,1,PAYMENT,1684.81,297.0,0.0,0.0,0.0,0
41,1,DEBIT,5758.59,32604.0,26845.41,209699.0,16997.22,0
42,1,CASH_OUT,110414.71,26845.41,0.0,288800.0,2415.16,0
43,1,PAYMENT,7823.46,998.0,0.0,0.0,0.0,0
44,1,PAYMENT,5086.48,0.0,0.0,0.0,0.0,0
45,1,PAYMENT,5281.48,152019.0,146737.52,0.0,0.0,0
46,1,PAYMENT,13875.98,15818.0,1942.02,0.0,0.0,0
47,1,CASH_OUT,56953.9,1942.02,0.0,70253.0,64106.18,0
48,1,CASH_OUT,5346.89,0.0,0.0,652637.0,6453430.91,0
49,1,PAYMENT,2204.04,586.0,0.0,0.0,0.0,0
50,1,PAYMENT,2641.47,23053.0,20411.53,0.0,0.0,0
51,1,CASH_OUT,23261.3,20411.53,0.0,25742.0,0.0,0
52,1,PAYMENT,2330.64,203543.0,201212.36,0.0,0.0,0
53,1,PAYMENT,1614.64,41276.0,39661.36,0.0,0.0,0
54,1,PAYMENT,9164.71,47235.77,38071.06,0.0,0.0,0
